CCDS release 9,CCDS release 15,X [mutability of noncoding sequence],Y [Tally of unique common noncoding variation],ncRVIS,ncRVIS percentile [Ensembl73] (n=690 WGS),ncGERP      [Average GERP++],ncGERP percentile [Ensembl73],RVIS-CHGV percentile [CCDS r14] (n=690 WGS),RVIS percentile (Petrovski et al 2013),pcGERP percentile [CCDS r14],Used in Table 1,ncCADD     [Average CADD],ncGWAVA [Average GWAVA]
FAR1,FAR1,4.71811E-05,3,-1.976302562,1.056965526,1.704591608,9.91893427,21.32336018,38.57631517,1.438577586,Yes,7.278707639,0.749070003
CPEB4,CPEB4,9.36419E-05,15,-1.97622786,1.063110674,2.908655871,2.246088708,9.321058688,37.32012267,3.038793103,Yes,8.284943405,0.523651678
ZNF532,ZNF532,3.94179E-05,1,-1.975266882,1.069255823,1.784267378,9.175401456,3.630609896,4.322953527,37.85021552,Yes,8.639178964,0.660600919
C5orf43,SMIM15,3.54732E-05,0,-1.971179943,1.075400971,0.329363651,35.76702639,59.06214039,80.45529606,15.31788793,No,6.857448339,0.577150146
CTDSP2,CTDSP2,4.7081E-05,3,-1.970628014,1.081546119,0.975612927,20.22512521,37.14614499,36.86010852,13.73383621,Yes,9.811161262,0.571827219
PANK3,PANK3,0.000105116,18,-1.968316902,1.087691268,0.2251195,39.27299014,33.08975834,67.91696155,6.497844828,Yes,6.061508559,0.547677145
ZMYND11,ZMYND11,3.54197E-05,0,-1.968147409,1.093836416,2.956191456,2.09634946,12.50287687,22.09247464,5.926724138,Yes,12.46331802,0.734301458
STRBP,STRBP,4.70338E-05,3,-1.967952309,1.099981565,3.358431402,1.04817473,38.39470656,24.19202642,1.228448276,Yes,9.069341598,0.453137569
CYB5D1,CYB5D1,3.92553E-05,1,-1.966049949,1.106126713,-0.1504029,56.18836165,63.4004603,70.25831564,49.78448276,Yes,7.93196382,0.44654498
CYLD,CYLD,6.24583E-05,7,-1.964305581,1.112271861,0.015918102,47.44152424,6.714614499,9.465675867,13.63146552,Yes,7.645410457,0.600905797
FAM105B,FAM105B,8.17544E-05,12,-1.960735414,1.11841701,-0.517016885,76.06237414,64.79286536,78.28497287,33.67456897,Yes,6.939314346,0.614652927
GPN2,GPN2,5.84806E-05,6,-1.958317123,1.124562158,-0.240930982,61.26916921,58.64211738,57.15380986,25.70581897,Yes,5.402844066,0.241338011
TMEM127,TMEM127,5.06917E-05,4,-1.955795737,1.130707307,0.594105325,28.60019621,39.70080552,49.75819769,7.182112069,Yes,4.946868611,0.627762393
PAX6,PAX6,7.39191E-05,10,-1.955521966,1.136852455,2.117115565,6.351009449,21.570771,28.6329323,2.683189655,Yes,10.18256872,0.776335604
ATRX,ATRX,4.29297E-05,2,-1.954819537,1.142997603,3.006344608,1.900139412,1.029919448,9.754659118,15.41487069,Yes,7.366482206,0.683502796
VASH1,VASH1,6.22789E-05,7,-1.954133963,1.149142752,-0.038616978,50.21428203,19.8561565,22.09247464,18.5075431,Yes,7.365739669,0.457797619
C3orf62,C3orf62,5.0595E-05,4,-1.950313785,1.1552879,-0.323271492,65.73036609,89.66052934,89.02453409,71.68103448,Yes,4.854389992,0.471716073
ANKRD50,ANKRD50,4.64842E-05,3,-1.93679654,1.161433049,1.150416513,17.08060102,2.439585731,2.394432649,49.81142241,Yes,5.798510246,0.659434511
KLF9,KLF9,5.41591E-05,5,-1.932843421,1.167578197,2.541561506,3.707337223,64.9712313,73.97381458,7.413793103,Yes,8.982878833,0.652429727
SYT11,SYT11,5.40107E-05,5,-1.924430366,1.173723345,1.030162463,19.34734342,55.84579977,35.98726115,10.93211207,Yes,7.840431663,0.590871122
G3BP2,G3BP2,5.00412E-05,4,-1.918919057,1.179868494,2.890588841,2.313213198,20.93785961,31.45789101,1.390086207,Yes,9.029080525,0.595464735
SLC38A2,SLC38A2,4.22809E-05,2,-1.918041973,1.186013642,2.248380717,5.468064233,55.70195627,63.35810333,17.09051724,Yes,8.602573485,0.618432984
PEG10,PEG10,7.32503E-05,10,-1.917597145,1.192158791,1.202424728,16.28543399,25.0863061,33.97027601,72.80172414,Yes,6.107785324,0.589971626
ERC2,ERC2,3.83629E-05,1,-1.915465352,1.198303939,2.2758509,5.26152734,68.5730725,30.86223166,5.344827586,Yes,12.53827426,0.671617516
WASF2,WASF2,6.15884E-05,7,-1.914984673,1.204449087,1.644244776,10.53338153,17.45684695,53.72729417,25.88900862,Yes,8.423355832,0.644700503
RNF40,RNF40,5.76951E-05,6,-1.913783614,1.210594236,-0.243782827,61.42407187,5.391254315,1.757489974,17.8125,Yes,10.03542904,0.57720814
FAM72A,FAM72A,3.44019E-05,0,-1.910456484,1.216739384,0.05200629,45.87700728,53.3141542,-,57.20366379,No,8.068274233,0.63402917
MALL,MALL,4.21234E-05,2,-1.909114119,1.222884533,-0.761512695,86.19817215,44.07364787,-,78.30280172,No,5.50207604,0.679114236
C10orf114,CASC10,6.52674E-05,8,-1.904040172,1.229029681,-0.005838333,48.49486239,41.14499425,-,90.60883621,No,7.563513568,0.668468097
ADCY6,ADCY6,3.81023E-05,1,-1.900693823,1.235174829,0.985695068,20.02891516,18.71116226,5.90351498,33.125,Yes,8.093971589,0.48634093
LRRC8C,LRRC8C,4.97159E-05,4,-1.900478195,1.241319978,0.824398556,23.16311251,61.68009206,60.64519934,13.95474138,Yes,8.415192399,0.465871287
FAM72D,FAM72D,3.41982E-05,0,-1.89891057,1.247465126,0.12687263,42.68601229,53.38319908,-,38.48060345,No,6.912777219,0.643069895
VPS13A,VPS13A,7.66526E-05,11,-1.890974754,1.253610275,0.037254515,46.49661796,1.070195627,2.03467799,28.81465517,Yes,7.060539701,0.64501076
GABRB3,GABRB3,5.34035E-05,5,-1.890007604,1.259755423,1.734699817,9.62978262,23.4004603,22.35786742,27.7262931,Yes,6.959808903,0.708013029
CPEB2,CPEB2,4.17182E-05,2,-1.886145649,1.265900571,4.596448047,0.046470801,-,-,43.24892241,No,13.05417235,0.593294352
SLC7A6OS,SLC7A6OS,4.55839E-05,3,-1.885761498,1.27204572,0.378630642,34.3367584,85.54660529,86.56522765,67.11206897,Yes,5.12200038,0.558596291
SEC24A,SEC24A,4.17022E-05,2,-1.885238706,1.278190868,2.24881404,5.457737388,4.453394707,7.554847841,13.10883621,Yes,6.993611094,0.614361017
ZBTB38,ZBTB38,4.93193E-05,4,-1.877995699,1.284336017,1.391457251,13.58496411,20.30494822,55.8091531,74.43426724,Yes,6.998019188,0.492847206
GID4,GID4,4.92301E-05,4,-1.872939163,1.290481165,0.645213004,27.21639903,-,-,31.13685345,No,9.135479236,0.621201117
RSBN1,RSBN1,5.30667E-05,5,-1.870914401,1.296626314,3.659196112,0.49052512,5.517836594,11.1759849,2.71012931,Yes,12.67197884,0.61491476
FAM72B,FAM72B,3.36692E-05,0,-1.868926654,1.302771462,0.053651273,45.82020963,85.46605293,-,71.96659483,No,5.847630568,0.573506912
CLTC,CLTC,4.13979E-05,2,-1.86798988,1.30891661,1.997655494,7.24428151,1.369390104,4.847841472,2.300646552,Yes,10.47310555,0.534304903
ZNF629,ZNF629,4.91354E-05,4,-1.867570861,1.315061759,0.840740999,22.86363402,2.284234753,57.15380986,33.27047414,Yes,10.0821913,0.647912595
BAG2,BAG2,6.84695E-05,9,-1.866059109,1.321206907,0.075567784,44.81850571,46.81242808,47.78839349,21.29310345,Yes,7.045892083,0.406695416
ZBTB34,ZBTB34,6.45934E-05,8,-1.865825856,1.327352056,3.069455921,1.652295141,15.10932106,11.67728238,19.3049569,Yes,9.181732119,0.539683172
RSF1,RSF1,8.78214E-05,14,-1.86567501,1.333497204,1.922218785,7.894872722,12.78481013,75.69591885,30.26400862,Yes,6.601347836,0.76603079
GPT2,GPT2,3.74794E-05,1,-1.865386597,1.339642352,-0.254709749,62.06949966,15.75949367,25.36565228,36.25,Yes,8.978339227,0.677331312
AFF4,AFF4,7.22579E-05,10,-1.861324311,1.345787501,2.375805023,4.548975061,3.797468354,19.79830149,3.717672414,Yes,9.151917962,0.660107868
SOCS6,SOCS6,4.51525E-05,3,-1.861307386,1.351932649,1.413644391,13.34228327,13.06674338,7.944090587,65.43103448,Yes,7.314960321,0.602056396
AZI2,AZI2,5.28334E-05,5,-1.857688748,1.358077798,0.376343981,34.3832292,32.40506329,26.23260203,29.6174569,Yes,8.655924552,0.509193634
UBL3,UBL3,5.28082E-05,5,-1.85626018,1.364222946,1.607739588,11.03939691,54.48791715,56.2514744,6.524784483,Yes,7.758592142,0.646358746
XRN1,XRN1,6.4356E-05,8,-1.852366038,1.370368094,0.726173999,25.1975009,9.821634062,30.95659354,16.9450431,Yes,6.585020881,0.680656796
INPP4A,INPP4A,4.49414E-05,3,-1.849341207,1.376513243,-0.194799717,58.54288222,4.9712313,5.461193678,18.6799569,Yes,8.036112369,0.687157139
DFFA,DFFA,7.58949E-05,11,-1.848008585,1.382658391,-0.005984972,48.51551608,77.87686997,80.10143902,74.1325431,Yes,3.900324814,0.53442446
TANC2,TANC2,7.58544E-05,11,-1.845712029,1.38880354,1.85560207,8.504156555,0.926352129,0.666430762,7.117456897,Yes,9.900113947,0.467767768
GTF2A1,GTF2A1,5.25574E-05,5,-1.842042593,1.394948688,2.337795076,4.79165591,37.14039125,39.67916962,7.338362069,Yes,7.095905798,0.629690094
SASH1,SASH1,5.25195E-05,5,-1.839894093,1.401093836,0.870237223,22.32147467,3.469505178,19.06699693,54.4612069,Yes,8.452835193,0.694163304
NR2F2,NR2F2,4.0899E-05,2,-1.83971077,1.407238985,3.181536734,1.419941137,15.65592635,26.23260203,5.409482759,Yes,8.720073589,0.563358279
TRMT5,TRMT5,5.63482E-05,6,-1.837424828,1.413384133,-0.027429986,49.64114215,58.20483314,66.07100731,45.71659483,Yes,6.198182057,0.364105263
IRGQ,IRGQ,0.000106663,19,-1.836457701,1.419529282,-0.355025489,67.5375639,3.860759494,65.9648502,82.54849138,Yes,4.518930512,0.532728626
NFYA,NFYA,3.69512E-05,1,-1.835447667,1.42567443,1.577806868,11.41632674,33.20483314,38.2814343,2.381465517,Yes,9.609559243,0.548994584
ABCE1,ABCE1,3.30498E-05,0,-1.833819402,1.431819578,0.653430834,27.0253524,16.8009206,35.42108988,3.873922414,Yes,9.484736657,0.480704526
C18orf1,LDLRAD4,0.000102706,18,-1.831589499,1.437964727,-0.048088325,50.70997057,24.99424626,45.12856806,53.07650862,No,7.433411434,0.698029773
ZCCHC14,ZCCHC14,5.62208E-05,6,-1.830202428,1.444109875,0.947137491,20.80342851,79.34407365,5.172210427,55.15086207,Yes,9.190064547,0.657227657
SAMD4A,SAMD4A,5.62029E-05,6,-1.829187667,1.450255024,1.480738185,12.59875045,20.90909091,16.62538335,11.03987069,Yes,11.06843109,0.668624648
SOX4,SOX4,5.61861E-05,6,-1.828235265,1.456400172,3.084639778,1.631641452,-,-,57.64008621,No,11.71441809,0.566388964
KPNA6,KPNA6,7.16578E-05,10,-1.827297494,1.46254532,1.155105536,17.00314969,17.08860759,24.00330267,8.372844828,Yes,8.141418538,0.416209879
PHF6,PHF6,4.06412E-05,2,-1.825098081,1.468690469,3.421986854,0.877781794,32.16915995,51.03798066,3.362068966,Yes,7.959880215,0.610616101
RFFL,RFFL,7.15769E-05,10,-1.822710373,1.474835617,0.220367292,39.41756596,30.2013809,41.6430762,24.24568966,Yes,6.333782017,0.593758733
FAM123B,AMER1,4.83373E-05,4,-1.822329281,1.480980766,1.267329015,15.37150824,14.58573072,27.02878037,58.96551724,No,4.202455659,0.653301832
LONP2,LONP2,7.15598E-05,10,-1.821740786,1.487125914,-0.422952853,71.39980379,7.629459148,23.42533616,22.65625,Yes,3.769503398,0.443090384
HOMER1,HOMER1,5.60485E-05,6,-1.820434665,1.493271062,2.334710196,4.822636443,34.06214039,35.42108988,2.1875,Yes,8.269411958,0.66337416
ATP2B1,ATP2B1,3.27608E-05,0,-1.817439247,1.499416211,3.43151062,0.836474415,3.394706559,7.944090587,1.487068966,Yes,14.14883098,0.513677856
PRKG1,PRKG1,5.59619E-05,6,-1.815525296,1.505561359,2.33107614,4.863943822,29.7698504,12.45576787,4.245689655,Yes,10.71763837,0.718390377
UHMK1,UHMK1,8.29967E-05,13,-1.811621634,1.511706508,0.76542923,24.37651676,20.23590334,34.31823543,18.24892241,Yes,7.983076054,0.617032422
GPR158,GPR158,4.80875E-05,4,-1.808169211,1.517851656,1.866351529,8.369907575,30.60989643,25.8492569,38.6799569,Yes,6.622713804,0.768824852
ASB7,ASB7,5.96957E-05,7,-1.807679487,1.523996805,1.626588036,10.77089895,28.49827388,30.06605331,13.58297414,Yes,12.85961722,0.570741758
KCNV1,KCNV1,7.51742E-05,11,-1.807141819,1.530141953,-0.047293158,50.66349977,12.70425777,27.41802312,12.8987069,Yes,5.837314051,0.632581467
CDKN2B,CDKN2B,5.57972E-05,6,-1.806188464,1.536287101,-0.485124971,74.48753034,29.03337169,61.2762444,55.77586207,Yes,7.151123708,0.557040107
ARHGAP35,ARHGAP35,7.51132E-05,11,-1.803682916,1.54243225,-0.480925675,74.3171374,1.260069045,2.170323189,25.14008621,Yes,6.296216037,0.54576699
NR4A3,NR4A3,3.63324E-05,1,-1.800374016,1.548577398,2.970627618,2.02922497,-,30.06605331,15.32327586,No,7.929963891,0.668892577
SIN3A,SIN3A,3.23738E-05,0,-1.795504777,1.554722547,1.323920969,14.50921671,2.341772152,4.269874971,7.764008621,Yes,9.422193715,0.533623003
TOMM20,TOMM20,4.39822E-05,3,-1.79497007,1.560867695,-0.320517028,65.54448288,51.04142693,59.43029016,11.42241379,Yes,7.490669379,0.595273865
SNIP1,SNIP1,4.39694E-05,3,-1.794244528,1.567012843,0.412201928,33.39185212,15.287687,63.19886766,43.9762931,Yes,5.429174221,0.418432836
LACE1,LACE1,4.78323E-05,4,-1.793703156,1.573157992,-0.392132945,69.65973047,51.8296893,80.96249115,14.7575431,Yes,6.764707668,0.525738523
YIPF4,YIPF4,8.65384E-05,14,-1.79291052,1.57930314,0.507342013,30.85661176,44.76409666,74.95281906,2.909482759,Yes,4.446669412,0.562297397
DCUN1D1,DCUN1D1,7.87256E-05,12,-1.788973556,1.585448289,1.300362144,14.89130996,43.5155351,47.78839349,0.328663793,Yes,6.84258504,0.672510782
MLL,KMT2A,5.54931E-05,6,-1.788949198,1.591593437,2.969735521,2.044715237,0.080552359,0.406935598,21.21228448,Yes,13.03626424,0.549591546
RELL2,RELL2,3.60847E-05,1,-1.786334526,1.597738585,1.83429085,8.674549491,88.03222094,67.19155461,20.81357759,Yes,10.84267392,0.46781284
C10orf105,C10orf105,6.31891E-05,8,-1.786208323,1.603883734,-0.480070833,74.29648371,46.58803222,93.0702996,79.11099138,Yes,7.646728975,0.528377512
WRAP53,WRAP53,4.76986E-05,4,-1.786124397,1.610028882,0.057092418,45.70145092,79.13118527,18.90186365,64.7575431,Yes,9.267086718,0.398984674
ADCY1,ADCY1,0.000125115,24,-1.785224473,1.616174031,-0.635421332,81.39102597,5.552359033,4.246284501,50.75969828,Yes,6.455511663,0.694672489
LRP10,LRP10,7.08574E-05,10,-1.781914573,1.622319179,0.078294625,44.68425673,20.76524741,44.03161123,41.36314655,Yes,6.638951703,0.490761523
COL12A1,COL12A1,4.76032E-05,4,-1.780716686,1.628464327,2.578954296,3.536944287,7.203682394,2.88393489,22.52155172,Yes,6.961612892,0.62755102
RAB11FIP1,RAB11FIP1,4.7551E-05,4,-1.777757756,1.634609476,-0.46368419,73.46517272,93.46950518,94.85138004,85.95366379,Yes,7.26833476,0.606019025
ZNF445,ZNF445,8.62645E-05,14,-1.777377016,1.640754624,-0.248726321,61.7080601,68.06674338,24.59896202,86.13146552,Yes,5.111496551,0.565644316
OGT,OGT,3.20372E-05,0,-1.776427075,1.646899773,2.428267545,4.239169722,4.257767549,26.23260203,5.107758621,Yes,11.3645378,0.510588465
KLLN,KLLN,5.51416E-05,6,-1.769023076,1.653044921,0.597135158,28.49176434,35.78250863,90.829205,88.10883621,Yes,7.253871049,0.515953337
SLC30A4,SLC30A4,6.67256E-05,9,-1.767183621,1.659190069,0.551968599,29.74131254,23.3141542,21.20193442,20.87823276,Yes,8.429254921,0.5713981
FAM156A,FAM156A,3.18608E-05,0,-1.766429203,1.665335218,-0.415366164,70.99189343,50.32220944,-,89.07327586,No,5.197729436,0.582571681
LUC7L3,LUC7L3,7.44532E-05,11,-1.766259268,1.671480366,1.68805334,10.06867352,19.40736479,55.21939137,1.66487069,Yes,7.955483659,0.513345582
PRTG,PRTG,9.37947E-05,16,-1.765302406,1.677625515,0.981949472,20.10120308,62.82508631,48.91483841,37.87176724,Yes,6.938772793,0.648372146
CCND2,CCND2,7.44242E-05,11,-1.764614919,1.683770663,1.105287032,17.89642175,28.08975834,39.67916962,30.95366379,Yes,8.825568249,0.645073429
TMEFF2,TMEFF2,3.95669E-05,2,-1.764205527,1.689915811,1.764889722,9.397428616,60.96087457,43.29440906,4.725215517,Yes,10.59094184,0.558504348
KSR1,KSR1,6.66351E-05,9,-1.762052642,1.69606096,-0.420854654,71.29653534,36.37514384,-,30.14008621,No,7.44086605,0.421210036
MGA,MGA,3.94897E-05,2,-1.759829817,1.702206108,2.820059786,2.514586668,73.44649022,17.48053786,20.88900862,Yes,13.11360874,0.577742149
FXR1,FXR1,8.20665E-05,13,-1.758871007,1.708351257,0.228261842,39.14390458,12.62370541,16.35999056,1.077586207,Yes,6.772536455,0.330241151
GLIS2,GLIS2,5.1062E-05,5,-1.757272456,1.714496405,0.229061153,39.11292405,71.30034522,40.35739561,29.43965517,Yes,9.069534395,0.477267905
SLC7A11,SLC7A11,9.36437E-05,16,-1.756737921,1.720641553,0.062540622,45.42778954,52.22669735,68.38287332,23.13577586,Yes,6.998918147,0.478632081
SLITRK2,SLITRK2,4.71764E-05,4,-1.756523897,1.726786702,0.624040559,27.79986575,21.00690449,12.88039632,18.06034483,Yes,6.733218897,0.558024164
SMAD4,SMAD4,8.20142E-05,13,-1.755905194,1.73293185,1.411776665,13.36810038,17.58342923,31.68789809,0.975215517,Yes,6.987546719,0.597799751
OTX1,OTX1,3.16279E-05,0,-1.753229136,1.739076999,2.368555309,4.590282439,14.06789413,46.48502005,52.72090517,Yes,9.21646017,0.675231753
HMGB3,HMGB3,3.54846E-05,1,-1.752321614,1.745222147,0.680397573,26.37476119,46.76639816,51.03798066,26.61099138,Yes,7.649103861,0.601534375
PHF8,PHF8,3.54802E-05,1,-1.752072229,1.751367296,1.560330599,11.57639283,3.239355581,51.91672564,14.64439655,Yes,6.281671549,0.50139267
NOVA2,NOVA2,7.03018E-05,10,-1.750412738,1.757512444,0.878993735,22.06330356,-,38.2814343,58.29741379,No,6.483462303,0.674873668
FGFR1,FGFR1,3.54408E-05,1,-1.749839107,1.763657592,0.8450314,22.78101926,3.958573072,4.582448691,9.989224138,Yes,7.316507682,0.5421875
IFNAR1,IFNAR1,6.63948E-05,9,-1.748428704,1.769802741,-0.825447456,88.25837765,72.69850403,57.31304553,92.66163793,Yes,4.536240359,0.605219699
MBLAC2,MBLAC2,5.08583E-05,5,-1.745725585,1.775947889,1.161690698,16.86373729,24.55120829,21.20193442,8.308189655,Yes,7.927519081,0.577672273
CCDC85C,CCDC85C,5.85985E-05,7,-1.745477972,1.782093038,-0.401571951,70.18123612,-,-,59.72521552,No,6.663662086,0.428690892
PSME3,PSME3,3.92334E-05,2,-1.745302754,1.788238186,1.250357208,15.61418908,38.95281933,49.38664779,3.728448276,Yes,12.67512374,0.499624903
UBE2H,UBE2H,5.46828E-05,6,-1.743014604,1.794383334,1.485000462,12.53678938,46.55926352,56.2514744,0.619612069,Yes,8.195789955,0.644844169
MSL2,MSL2,3.53033E-05,1,-1.742045868,1.800528483,3.007410581,1.889812568,16.3693901,20.70063694,3.238146552,Yes,11.42473523,0.452768414
NBEAL1,NBEAL1,3.91517E-05,2,-1.740672027,1.806673631,0.309144779,36.42278102,5.949367089,92.85208776,13.82543103,Yes,6.914793912,0.589158598
FBXL15,FBXL15,3.139E-05,0,-1.739745767,1.81281878,0.839143103,22.88945113,13.46375144,-,32.96336207,No,9.456288563,0.54857478
RPRD1A,RPRD1A,4.68658E-05,4,-1.738918008,1.818963928,1.880921904,8.230495172,33.85500575,33.97027601,4.886853448,Yes,6.749264352,0.570627503
IGIP,IGIP,3.13634E-05,0,-1.738238174,1.825109076,4.069620515,0.170392936,77.38204833,86.40599198,0.598060345,Yes,10.71012296,0.399962775
STK40,STK40,3.51769E-05,1,-1.734881782,1.831254225,0.950989511,20.75179429,37.81933257,9.170794999,18.50215517,Yes,9.204493295,0.548876147
NUS1,NUS1,4.67723E-05,4,-1.733618136,1.837399373,1.220096674,16.0582434,38.73993096,-,13.29202586,No,5.828049092,0.663581683
NTRK2,NTRK2,5.43969E-05,6,-1.726807698,1.843544522,2.044531684,6.857024836,4.867663982,22.64685067,9.035560345,Yes,7.695925082,0.648498737
KAT7,KAT7,3.11228E-05,0,-1.724601871,1.84968967,2.31314281,4.987865958,13.03222094,50.01179523,6.082974138,Yes,8.787583648,0.568070755
ANKRD13C,ANKRD13C,3.88204E-05,2,-1.72189417,1.855834818,1.798815233,9.030825631,14.23475259,26.53338051,10.46875,Yes,7.669524006,0.660896474
COL4A4,COL4A4,5.81639E-05,7,-1.720840672,1.861979967,0.194048013,40.48639438,97.50863061,91.26562869,61.06681034,Yes,8.100026901,0.682332461
SDC1,SDC1,3.48687E-05,1,-1.717413757,1.868125115,0.162002654,41.47777147,63.2278481,89.14248644,82.8125,Yes,8.922096902,0.708256579
CSNK1G1,CSNK1G1,8.52034E-05,14,-1.717201368,1.874270264,1.348917783,14.11163319,25.70195627,30.37272942,1.454741379,Yes,7.863076463,0.554208309
CASC4,CASC4,3.4855E-05,1,-1.716637278,1.880415412,1.667826732,10.32684463,21.60529344,55.44939844,11.50862069,Yes,8.732204925,0.577293752
NEGR1,NEGR1,5.02912E-05,5,-1.713579543,1.88656056,2.144914964,6.17545309,61.30034522,34.59542345,1.853448276,Yes,8.276404342,0.624825651
ARMCX5,ARMCX5,4.24887E-05,3,-1.710315935,1.892705709,0.490219665,31.26968555,23.72266974,35.74545883,79.25646552,Yes,6.906891036,0.330274229
GOLGA6L9,GOLGA6L9,3.08379E-05,0,-1.708454919,1.898850857,-,-,-,-,-,No,-,-
CPEB3,CPEB3,3.85635E-05,2,-1.707333375,1.904996006,3.8975916,0.247844271,9.441887227,25.36565228,10.09159483,Yes,8.496570333,0.77738549
TBRG1,TBRG1,4.2366E-05,3,-1.703361256,1.911141154,-0.426576352,71.53921619,60.3164557,39.95046001,16.55172414,Yes,5.699219863,0.562989383
TEAD1,TEAD1,8.49374E-05,14,-1.702116782,1.917286302,1.266214312,15.3869985,23.29689298,21.20193442,0.942887931,Yes,7.432438047,0.58933654
IGF2BP1,IGF2BP1,8.49337E-05,14,-1.70190696,1.923431451,1.301365571,14.87581969,10.12658228,27.68931352,17.67241379,Yes,12.08228156,0.651976127
WIZ,WIZ,4.61865E-05,4,-1.700413509,1.929576599,0.554042485,29.68967832,6.121979287,12.45576787,45.5549569,Yes,7.528869198,0.462753789
ARIH2,ARIH2,3.84327E-05,2,-1.699919822,1.935721748,0.71265154,25.54861362,49.12543153,32.93819297,2.058189655,Yes,9.056334251,0.402608424
HNRNPA2B1,HNRNPA2B1,3.84042E-05,2,-1.698304487,1.941866896,3.719202971,0.413073785,33.70540852,36.86010852,0.549568966,Yes,9.92038846,0.465298692
IRS1,IRS1,3.45197E-05,1,-1.69763346,1.948012044,2.681048543,3.072236278,14.27502877,4.965793819,38.39978448,Yes,7.369197224,0.621097217
SPIN1,SPIN1,4.22531E-05,3,-1.696962066,1.954157193,1.604445948,11.06521402,38.31990794,54.62962963,12.20905172,Yes,6.747735685,0.653546192
OSR1,OSR1,6.16043E-05,8,-1.696362235,1.960302341,-0.281081987,63.30872102,29.21173763,56.92380278,19.1487069,Yes,8.551527164,0.486428177
STS,STS,5.77022E-05,7,-1.694667488,1.96644749,-0.993802706,92.84866009,12.52589183,40.44585987,86.78340517,Yes,3.430882619,0.655250249
NECAB1,NECAB1,5.76644E-05,7,-1.692524673,1.972592638,0.407195257,33.5261011,31.44418872,48.11866006,17.21982759,Yes,8.526322774,0.712831902
ILDR2,ILDR2,6.92741E-05,10,-1.692145211,1.978737787,0.257418464,38.28677648,53.2853855,40.15687662,33.41594828,Yes,7.843080659,0.460201519
FOXD4L2,FOXD4L2,3.05015E-05,0,-1.689389309,1.984882935,-0.258590979,62.27087313,18.47525892,-,87.66163793,No,3.606339987,0.517181559
FOXD4L4,FOXD4L4,3.04958E-05,0,-1.68906626,1.991028083,-0.064629834,51.58775236,17.85960875,-,92.28987069,No,3.478214987,0.575594106
FOXN2,FOXN2,4.2092E-05,3,-1.687830929,1.997173232,1.360109028,13.95673052,29.36708861,13.93606983,20,Yes,6.634905844,0.564423485
